video	seconds	kind	quote	problem
ue-capacitor-01	2.29	図の文言	仕事の短冊	仕事そのものが細長い紙片のように読める。「細い長方形の面積が、この分の仕事を表す」が必要。
ue-capacitor-01	14.28	図の文言	エネルギーは空間の状態に宿る	「宿る」は比喩で、何が分かったか説明していない。電場のある場所に、E²に比例するエネルギーを割り当てられる、と具体化する。
ue-capacitor-01	19.59	図の文言	明るさ ∝ E²	実際に光るのか、図の表示上の工夫なのか曖昧。明るさでエネルギー密度を表した図、と明記する。
ue-capacitor-01	31.70	字幕と式	体積で割った結果	式はまだ体積Sdを含む全エネルギー。全体の量Uと体積あたりの量uを指し分ける必要がある。
ue-capacitor-02	2.38	図の文言	絶縁体の分子が電場に沿って向きを揃える（分極）	向きが揃う模型を全ての分極の定義のように言っている。電荷の位置がずれる場合もあり、「ここでは向きが揃う例」と限定する。
ue-capacitor-02	18.82	図の文言	分極の逆向き電場でEが弱まる	電池につないで電圧一定という字幕の場面にもこの図の文が残る。電圧一定・間隔一定の板間電場まで弱まると誤解させる。
ue-current-01	0.00	見出し	局所と回路のオーム則を結ぶ	「局所」はどこの何か不明。導体中の各点の電場と電流密度の関係、と回路全体のV=RIを区別する。
ue-current-01	3.00	図の文言	電子は平均して右へ	時間平均なのか、電子を集めた平均なのか不明。ばらばらに動きながら全体として少しずつ右へ、と補う。
ue-current-01	39.56	字幕と式	電流密度と断面積の積	確認フレームはR=ρl/S。字幕の積jSを探せない。
ue-current-02	0.00	見出し	保存則と電力で回路・送電を読む	何の保存則か、何を計算できるかが見出しにない。「読む」が学習の目的をぼかしている。
ue-current-02	2.85	図の文言	高電圧（100倍）：電流1/100	何に対する100倍か、何を一定にする比較かが図中にない。送る電力を同じにする条件が必要。
ue-current-02	20.81	字幕と式	線自身の抵抗による電圧降下	説明は線の電圧降下だが式は送電電圧V送を含む。I=P送/V送を代入した別表現だと示さないと矛盾に見える。
ue-lorentz-01	20.65	字幕と図	コイルの左右の力	図は一本の直線導線しかなく、コイルの左右も回転軸もない。「左右」の指す場所がない。
ue-lorentz-01	32.48	字幕と式	電流の式でまとめると	表示は粒子数nSlなどを含む途中式。どの部分が電流Iになるか囲って示されず、まとめる操作が分からない。
ue-lorentz-02	0.00	見出し	平行成分を合わせ、らせんと模型の限界を読む	何の平行成分を何に合わせるか省略されている。「限界を読む」も、説明できない現象を確認する、など目的に直す。
ue-lorentz-02	24.71	字幕と図	磁力線に沿う荷電粒子の運動	「沿う」が磁力線の上を走る意味に読める。磁場方向に進みながら、その方向を軸に回る、という意味を分ける。
ue-ampere-01	3.78	図の文言	合計：0.98（相対値）	何の合計か、何を1とするか不明。観測点の磁場の大きさであることと表示尺度が必要。
ue-ampere-01	30.25	字幕と図	円形コイルの中心	画面は直線導線とその横の点P。円形コイルも中心もなく、距離が等しいという説明を確かめられない。
ue-ampere-02	14.91	字幕と図	長方形の経路	図に長方形がない。どの辺の積分がゼロになるか、文中の「内部の辺」を特定できない。
ue-faraday-01	2.00	図の文言	電流の慣性（質量の役）	電流が質量を持つという意味に読める。電流の変化を妨げる点が物体の慣性に似る、という比喩の範囲が必要。
ue-faraday-01	18.56	字幕と図	向きの約束が異なるため符号が逆になります。	図は電流の時間変化のグラフで、二つの電圧の正方向がない。「異なる」二つを比較できない。
ue-faraday-02	8.52	字幕と図	導線で直結しないエネルギーの受け渡し	どちらのコイルからどちらへ渡るかが抽象的。一次側の電源から二次側の負荷へ、と対象名が必要。
ue-transient-01	2.77	図の文言	量	グラフの縦軸が「量」だけ。電流か電荷か、最終値との差か区別できない。
ue-transient-01	15.13	図の文言	電流の慣性を急停止させる衝撃の電気版	ONの電流増加の図に「急停止」「衝撃」がある。何の現象を指すのか一致しない。
ue-transient-02	13.52	字幕と式	電荷の二階微分	画面は角振動数と周期の式。qの二階微分を示す式がこの発話の画面にない。
ue-maxwell-01	0.00	見出し	積分形を場所の変化へ直す	「積分形」「場所の変化」の対応が不明。面や道全体の式から、各点の電場・磁場の変化を表す式を導く、とする。
ue-maxwell-02	15.10	字幕と図	小長方形の左右の辺	図は円形の経路で、左右の辺が存在しない。文中の対象を図で探せない。
ue-maxwell-02	20.41	図の文言	静電場では一周すると合計0に戻る	変化する磁場と電場の周回積分を導く場面で、静電場の説明が残る。今の前提を取り違えやすい。
ue-maxwell-03	7.81	字幕と式	電場だけを含む波動方程式	画面は磁場Bの混合微分の等式。説明対象である電場だけの式が見えない。
ue-maxwell-03	13.96	字幕と式	位置から速さと時間の積を引いた変数	画面はc=1/√(με)。説明するx−ctがなく、言葉を式に対応させられない。
ui-field-map-01	13.29	図の文言	矢印の長さは、その点で1 Cが受ける力の大きさ	正の1 Cかどうかが省略され、電場の矢印と力の矢印の同一視につながる。+1 Cを置いた場合の力に比例する長さ、と区別する。
ui-field-map-02	0.00	見出し	置いた電荷が受ける力を作る	計算で力を求める話なのに、実際に力を発生させる操作に読める。
ui-field-map-03	23.57	図の文言	道の小片を足す → 仕事 [J]	区間の長さを足すだけで仕事になるように読める。各区間の仕事を足す、と量の名前を正す。
ui-field-map-03	27.59	図の文言	面の小片を足す → 束 [Wb]	面積を足すだけで束になるように読める。直前の字幕は電気束なのにWbは磁束の単位であり、電気束と磁束の呼び分けも必要。
ui-work-direction-01	13.37	図の文言	矢印の長さをそのまま掛けてよいのか、という問い	学習者への説明でなく編集メモの文体。「力10 N×距離2 mでよい？」と対象を名指しした方が短く明確。
ui-work-direction-02	13.63	図の文言	上向きの成分は、右へは1 mmも進めない	力の成分が移動の主体になっている。箱が上向きに移動しないため上向きの力の仕事は0、と因果を正す。
ui-work-direction-02	28.82	字幕と図	その仕事の値は十ジュールになります。	図は途中のW=2.4 J、式はW=10 J。「途中まで」と「2 m進んだ合計」を明示しないと二つの答えに見える。
ui-work-direction-03	2.39	図の文言	答えの単位がJなら仕事	単位だけで仕事だと判定できるように読める。エネルギーもJなので、仕事の単位はJになる、という片方向の確認にする。
ui-work-direction-03	13.12	図の文言	中級ではこの取り出しを内積と呼ぶ	成分を取り出す操作だけが内積なのか、移動距離を掛けた全体が内積なのか不明。
ui-work-bent-path-01	2.98	図の文言	道がL字に曲がっている	図は右・上・左の三つの区間で、L字ではない。言葉の形と図が一致していない。
ui-work-bent-path-01	25.30	図の文言	前1 = 右	「前1」「前2」という独自の省略で位置の番号なのか向きの名前なのか迷う。区間1の進行方向、に統一する。
ui-work-bent-path-02	37.67	字幕と図	七ジュールです。	図の「ここまで5 J」は途中、字幕の7 Jは全体。合計の対象範囲を強調しないと足し算を疑う。
ui-work-bent-path-03	26.31	図の文言	道を、まっすぐな区間に切る	曲線を切れば直線になるように読める。短く分け、各区間を直線で近似する、と二つの操作を区別する。
ui-electric-work-path-01	1.89	図の文言	道がまっすぐなら、掛け算1回で済む	直線でも電場が位置で変われば単純な積では求められない。電場成分が一定という条件が抜けている。
ui-electric-work-path-01	1.89	表示不具合	1 C × 3 N/C × 1 m = 2.6 J	左辺は固定した最終値、右辺は途中の値なので等式が成立していない。日本語の修正だけでなく同期・数値表示の修正が必要。
ui-electric-work-path-02	14.41	図の文言	進んだ長さで寄与を稼げる	何を「稼ぐ」のか分からない比喩。電場成分が小さくても距離が長ければ仕事は増える、と量の名前に戻す。
ui-electric-work-path-02	24.73	図の文言	電場は道と90°、真横を向く	画面の左右と進行方向から見た横が混ざる。進行方向に直角、とする。
ui-electric-work-path-03	2.19	字幕と図	全体の仕事	字幕と式は全体3 J、図はここまで5 J。途中の合計と全体の合計の区別が弱い。
ui-flux-one-tile-01	1.87	図の文言	数えたいのは、このタイルを通り抜けた磁場の量	過去形の「通り抜けた」で物体の通過数のように聞こえる。磁場は流れる粒子ではないことと、面に対して定義する値を区別する。
ui-flux-one-tile-02	12.90	図の文言	受け止められる分	面が磁場を吸収・遮断するように読める。磁場方向から見た面の見かけの広さ、と図の操作で説明する。
ui-flux-one-tile-03	2.90	字幕と図	角度がゼロ度から九十度へ増える	確認した2.90秒は64°、7.81秒は15°。説明の増える方向と二つの確認画面の変化が逆で、増減の関係を追いにくい。
ui-flux-one-tile-03	13.30	図の文言	量を見せる工夫	「量」が磁場の強さか磁束か不明。線の本数に何を対応させる図か名前を明示する。
ui-flux-one-tile-03	18.22	図の文言	定義は、磁場と面の向きから決まる量のほうにある	「定義が量のほうにある」という日本語では何も定義できていない。面積も含めた磁束の計算を直接述べる。
ui-flux-one-tile-03	24.99	図の文言	効くのは、磁場の法線方向の成分だけ	何に効くか省略されている。磁束の計算で使う成分、と目的を示す。
ui-flux-many-tiles-01	0.00	見出し	タイル1枚の寄与を作り	寄与は作る物体ではなく、この面の磁束の計算結果。各面の磁束を計算する、とする。
ui-flux-many-tiles-02	32.88	字幕と図	面全体の磁束	全体の式は2.5 Wb、図は合計2 Wb。図の「合計」に途中までの値という限定が必要。
ui-flux-many-tiles-03	2.01	図の文言	変わったのは、小片が長さから面積になったことだけ	力から磁場へ、接線成分から法線成分へも変わっている。「だけ」が説明上の違いを隠す。
ui-closed-bag-01	11.36	図の文言	袋の正味の量	袋に何が入っている量か分からない。閉じた面全体の電気束、と量の名前を統一する。
ui-closed-bag-02	18.25	字幕	入る寄与と出る寄与が等しい	直前に入る分を負、出る分を正としたので、値そのものは等しくない。大きさが等しく符号が逆、と言う必要がある。
ui-closed-bag-03	25.20	図の文言	教えてくれること	何が教えてくれるのか省略される。面全体の電気束から分かること、と主語を補う。
ui-charge-and-flux-preview-01	17.77	図の文言	数えた本数2/8	本数は実在しないと説明しながら数えた本数を正味の量にしている。一本を一定の束に対応させた模式図、という約束が必要。
ui-charge-and-flux-preview-02	24.78	図の文言	面をどう取っても、正味の量は変わらない	ここで比べたのは同心球の半径だけ。「どう取っても」と任意の形への一般化を先取りしている。
ui-charge-and-flux-preview-03	2.58	図の文言	中にない電荷は効かない	外部電荷は各点の電場には影響する。閉曲面全体の電気束への寄与が0、と対象を限定しないと誤解する。
ui-charge-and-flux-preview-03	18.63	図の文言	定義は電場と面から決まる量。	定義と量を同一視していて不自然。電気束は電場と面から計算する量、と主語を直す。
ui-electric-potential-01	7.16	字幕と図	始点が一ボルト、終点が四ボルト	図はB→A、式は1−4=−3 V。字幕の始点・終点と画面の向きが逆で、引き算の符号が分からなくなる。
ui-capacitance-01	23.95	字幕と式	その時点の電荷を容量で割った値	説明はV=q/Cだが表示はエネルギーU=QV/2。電圧とエネルギーの話を混同しやすい。
ui-capacitance-01	29.69	図の文言	後から運ぶ電荷ほど仕事が大きい	電荷そのものが仕事をするように読める。同じ少量の電荷を運ぶために必要な仕事が増える、と主体と比較条件を示す。
ui-conduction-01	29.14	字幕と図	三オームの抵抗に六ボルトがかかると、電流は二アンペアです。	図は抵抗5.1Ω・電流1.2A。数値例と動く図の条件が違い、割り算を確かめられない。
ui-magnetic-force-01	17.42	字幕と図	同じ速度の正の電荷の場合と逆向き	何と同じかは説明されるが、画面が負電荷だけに切り替わり、正電荷側の矢印が残らない。比較先を同時表示すると指示が成立する。
ui-current-field-01	18.29	字幕と図	同じ軸方向の寄与の合計	図にはコイルの軸がなく、右側の矢印が中心の磁場を表すという対応が弱い。「中心で右向きの磁場を足す」と場所を明示する。
ui-induction-01	14.52	図の文言	誘導の向き	電流・起電力・誘導磁場のどの向きか不明。円の矢印に量の名前が必要。
ui-circuit-time-01	30.87	字幕と図	一定の電流	図の電流グラフに、折れ線とは別の斜線が原点から伸びている。どの線が電流を示すか分からず、「一定」を図で確認できない。
ui-ac-waves-01	12.75	図の文言	時刻がずれる	何の時刻か省略される。最大値になる時刻がずれる、と本文と同じ対象にする。
um-line-element-01	2.04	字幕と図	位置ベクトル	図には電場E(r)だけがあり、原点や位置ベクトルrがない。最初に説明しているベクトルを図で見つけられない。
um-line-element-02	13.37	図の文言	この値を使い回す	何の値をどこまで同じとみなすか曖昧。区間内の電場を、中点での電場と同じと近似する、とする。
um-line-element-03	2.15	見出し	有効な力	仕事に関係しない力は無効、あるいは存在しないかのような名前。移動方向の力の成分、と正式な対象名にする。
um-line-element-04	2.17	字幕と図	力と移動が同じ向きなら、内積は正の最大値です。	最大値の条件である二つの大きさ固定が省略され、同時に図は直角で仕事0。条件と図の両方が説明に合っていない。
um-line-integral-entry-01	42.11	字幕と図	力ベクトルと移動ベクトル	直前は代表点の位置の話で、図の白い矢印も位置r。三種類のベクトルが名前の切り替えだけで混ざる。
um-line-integral-entry-02	16.81	字幕と図	上のエヌ	図のΣの上は4。Nを具体例で4にしたことを一言添えないと、Nを探して迷う。
um-line-integral-entry-02	24.06	字幕と図	合計は三ジュールです。	図には「ここまでの合計5 J」。全区間の3 Jと部分和5 Jの対比が明示されていない。
um-line-integral-entry-03	2.35	図の文言	代表点のずれも減る	何からのずれなのか不明。代表点で区間全体を置き換える誤差が小さくなる、という意味ならその対象を述べる。
um-line-integral-entry-03	14.83	図の文言	もう近似ではなく、分け方によらない1つの数	画面にはN=64と約1.8833 Jが残る。有限分割の近似値と極限の正確な値を混同する表現。
um-line-integral-entry-04	37.26	図の文言	上の枠は確定、下の枠はまだ未確定	学習者に何が分かって何が未証明かではなく、枠の状態を説明している。指定経路の仕事は計算できたが経路を変えて同じかは未確認、とする。
um-electrostatic-potential-path-01	14.09	図の文言	どちらが得か、実際に計算してみる	誰にとって何が得か不明。電気力がする仕事は経路で変わるか、という問いにする。
um-electrostatic-potential-path-02	24.62	図の文言	仕事に入らない	力がないのか、計算を省略するのか不明。この区間で電気力がする仕事は0、と言う。
um-electrostatic-potential-path-03	2.13	字幕と図	一周の線積分はゼロです。	図が途中なのに「一周の合計=24 J」と表示。途中までの仕事と一周全体の仕事を同じ名前で表示している。
um-electrostatic-potential-path-04	2.61	図の文言	紫が減った分、黄緑が出ていった分。	何がどこから出たか不明。紫は位置エネルギーの減少、緑は電気力の仕事、と対応を量名で示す。
um-electrostatic-potential-path-04	22.87	図の文言	位置だけの差として使える	位置の座標の差なのか電位の差なのか曖昧。二点の電位の差は経路によらない、とする。
um-electrostatic-potential-path-05	17.62	字幕と図	電位の高さの図	この場面は縦の等電位線と数値の図で、高さで電位を表していない。画面にない表現の説明になっている。
um-em-area-vector-01	13.36	図の文言	この2つだけで、1枚が決まる	面積と法線だけでは位置や形は決まらない。磁束の近似計算に使う面積と向きを表せる、という範囲に限定する。
um-em-area-vector-01	37.98	図の文言	面に沿う成分は、1本も貫かない	成分を線の本数として数える表現に戻っている。面に平行な成分が磁束に加える値は0、とする。
um-em-area-vector-02	7.04	図の文言	法線の長さは掛からない	式には長さ1が掛かっている。「1を掛けても値が変わらない」を、掛からないと言い換えたため説明と式が食い違う。
um-em-area-vector-02	13.26	図の文言	長さが面積になる	物理的な長さが面積に変わるように読める。矢印の長さで面積の数値を表す、と表示の約束を明示する。
um-em-area-vector-03	12.43	図の文言	だからnには添字iが要る	iが何番目の区画を表すか、その場で確認できない。各区画で違う法線をn₁、n₂…と区別する、と例示する。
um-surface-integral-entry-01	30.28	字幕	シグマは、面の区画を番号順に足す記号です。	足すのは区画そのものではなく各区画で計算した磁束の値。目的語が違う。
um-surface-integral-entry-02	23.72	図の文言	足す相手はΔrベクトル	線積分では移動ベクトルだけを足すのではない。内積を取る相手、と足し合わせる値を区別する。
um-surface-integral-entry-02	28.65	図の文言	足す相手はΔAベクトル	磁束の面積分でも面積ベクトルだけを足すのではない。磁場との内積を足す、と操作を正す。
um-surface-integral-entry-03	26.96	図の文言	輪が1本か2本かで、道と面を区別する	1本・2本は輪ではなく積分記号の本数を指しているように見える。丸と積分記号を区別して呼ぶ必要がある。
um-surface-integral-entry-03	32.78	表示不具合	丸付きの積分記号	比較対象の閉曲面積分が赤い「\oiint」のままで、丸付き記号を視聴者が確認できない。
um-surface-integral-entry-03	39.43	図の文言	記号は、外向き法線の約束まで持ち込む	記号自体が必ず外向きを意味すると誤解しやすい。この教材では閉曲面の法線を外向きに選ぶ、という約束を分ける。
um-closed-electric-flux-01	1.89	図の文言	この約束込みの記号	何の約束を含むか曖昧。面全体を積分する記号と、法線を外向きに選ぶ約束を別々に説明する。
um-closed-electric-flux-02	34.75	表示不具合	六面の寄与の合計	その合計を表す式の積分記号が「\oiint」と赤く残る。式の意味を学ぶ場面で表示が壊れている。
um-closed-electric-flux-03	12.56	図の文言	点が左から入り、右へ抜けていくことを見てください	移動する点が電子なのか電場なのか不明。電気束は粒子の通過数ではないため、模式表示である説明が必要。
um-gauss-sphere-preview-01	7.47	図の文言	大きさは距離だけで決まる	電荷Qも表示されるのに「だけ」と言い切る。中心の電荷を固定したとき、と比較条件が必要。
um-gauss-sphere-preview-02	0.00	見出し	和を掛け算に退化させる	「退化」は劣化の意味に聞こえ、計算が簡単になることを伝えない。同じ値をまとめて掛け算にする、とする。
um-gauss-sphere-preview-02	23.27	表示不具合	積分の外へ出せます。	外へ出す操作を表す式に赤い「\oiint」が残り、どの記号の外なのか読めない。
um-gauss-sphere-preview-02	34.16	図の文言	タイルが1周そろうと、球の表面積になる	平面図で円周上を1周するだけの図なので、円周の長さと球面積を混同しやすい。球の表面全体を覆う、と対象を正す。
um-gauss-sphere-preview-03	28.35	図の文言	Eが場所ごとに違い、外へ出せない	電場が球の外に出ないようにも読める。積分記号の外へ共通因子として出せない、と目的語を省略しない。
um-capacitance-01	0.00	見出し	面密度から板間の電場と電圧を求め、平行板の容量を導く。	何の面密度か省略される。「平行板の容量」も板自体の量に見える。面電荷密度と平行板コンデンサの静電容量、と対象を明確にする。
um-capacitance-01	2.16	字幕と図	面電荷密度	図に板の面積Sがなく、Q=CVしかない。単位面積あたりの電荷という対象を図で確認できない。
um-capacitance-02	2.31	字幕	両側へ半分ずつ広がります。	何を半分にしたのか不明。各側の電場の強さがσ/(2ε₀)であることと、電場を半分ずつ分配する比喩を区別する。
um-capacitance-02	27.32	図の文言	σ=Q/Sを入れるとSとdだけ残る	表示する容量の式にはε₀も残る。形を変えたときの変数がSとd、という意味なら条件を添える。
um-conduction-01	2.29	字幕と図	電子の数密度	図は電子の移動と場の伝わり方で、1 m³の領域や粒子数の対応がない。数密度の定義を説明する図になっていない。
um-conduction-02	3.38	字幕と図	平均速度と時間が作る円柱の体積	図には円柱やvdtの長さがない。「速度と時間が作る」という比喩だけで体積S vdtを組み立てられない。
um-conduction-02	14.53	字幕と図	分岐点の電流の収支	図は分岐のない一周の回路。文中の分岐点が存在せず、入る電流と出る電流を追えない。
um-magnetic-force-01	14.26	字幕と図	速度と磁場	図の矢印はA・B・A×B。Aが速度か面積か分からず、字幕の量名と図中の記号が一致しない。
um-magnetic-force-02	2.57	字幕と図	右手の指を曲げたときの親指	手の図がなく、ベクトルの図だけ。どの指をどこからどこへ曲げるか、言葉だけでは再現しにくい。
um-magnetic-force-02	20.49	字幕と式	半径は	確認フレームには周期Tの式が出ている。半径の分数を説明しても対応する式を見つけられない。
um-current-field-01	14.84	字幕と図	周回の正の向きと面の正の向き	周回経路・面・磁場の線が図で明確に区別されていない。物理的な磁場の向きと、計算で選ぶ正方向が混ざる。
um-current-field-02	27.88	字幕	半径に反比例	導線の太さの半径と混同しやすい。導線から観測点までの距離r、と量の意味を言い直す。
um-induction-01	3.10	字幕と図	変動磁束による電場ではゼロとは限りません。	図には静電場の一周で0という説明だけが残る。今は静電場ではない場合を説明している、という切り替えが図に反映されない。
um-induction-01	28.99	字幕と図	各巻きを同じ磁束が貫く場合	図は面1枚で、何巻きもあるコイルがない。「各巻き」「一巻き」の比較対象が見えない。
um-induction-02	27.20	字幕と図	動く棒が作る回路の面積変化率	図は磁場中の導線に働く力で、回路や囲まれた面がない。何の面積が変わるか特定できない。
um-circuit-time-01	2.52	図の文言	満タンQ=CV	コンデンサ固有の最大容量のように読める。この電池電圧での最終電荷、と条件を添える。
um-circuit-time-01	19.99	字幕と式	電流を電荷の時間微分に置き換えると	式は既に積分したln|u|の式。置き換えるIとdq/dtが見えず、今の操作を追えない。
um-circuit-time-02	2.19	図の文言	回路の「反応時間」	反応を始めるまでの待ち時間と誤解しやすい。変化の速さの目安となる時間、とする。
um-circuit-time-02	32.17	字幕と図	放電の電荷	図は右上がりで「充電中」「満タン」。減る放電の説明と増える充電の絵が正反対。
um-ac-maxwell-01	2.14	字幕と図	正弦波の交流電流	図は周波数と通しにくさのグラフで、電流の正弦波ではない。振幅・位相の説明を図から読めない。
um-ac-maxwell-01	12.96	図の文言	通しにくさ	何を通しにくいか省略される。交流電流の流れにくさ、と対象を明示し、電圧と電流の振幅比との関係を示す。
um-ac-maxwell-01	30.97	字幕と図	四分の一周期先行します。	時間軸の波形がなく、どちらの最大値が先か確かめられない。先行という言葉を同時刻の波形で補う必要がある。
um-ac-maxwell-02	7.01	字幕と図	四分の一周期遅れます。	ここも周波数のグラフで、電圧と電流の時間のずれが表示されない。「遅れる」の比較対象が視覚的にない。
um-ac-maxwell-02	13.74	図の文言	袋の本数=電荷	袋の数なのか線の数なのか不明で、単位も異なる量を等号で結ぶ。閉じた面の電気束は内部電荷に比例、と表す。
um-ac-maxwell-02	25.77	図の文言	磁力線は閉じる	どの磁力線も必ず有限の閉じた輪になる、と読める。磁場には電荷のような湧き出し・吸い込みがない、という法則の範囲を明示する。
